,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sl No,Job Number,Start Date,End Date,Name of Work,Ward,Office,Budget Head,Contractor,Mobile,Email,Bill Type,Order Number,Order Date,SBR Number,SBR Date,BR Number,BR Date,CBR Number,CBR Date,Payment,Gross,Gross In words,Deduction,Deduction in words,Nett,Nett in words
1,1,174-22-000002,01-Apr-2022,02-Jun-2022,"Replacement of burnout cables at parks and play grounds in  Bommanahalli Constituency(Ward No:174,175,186,187,188,189,190 & 193)",174 HSR Layout,Executive Engineer Electrical Division Bomanahalli Zone,"P0298 M and R to Electrical Installations in Parks and Gardens, Playgrounds, Burial Grounds",022305 SRI DURGA ENTERPRISE,9448510301,,Running,000028,25-May-2022,,           ,,           ,,           ,Under Process in Asst. Exec. Engineer,542432,Five Lakh Fourty Two Thousand Four Hundred Thirty Two,0,,0,
2,2,174-22-000001,21-Jan-2022,28-Mar-2022,POTHOLE FILLING IN ASPHALT AND CC ROADS IN WARD NO. 174 HSR LAYOUT,174 HSR Layout,Executive Engineer Bommanahalli Division Bomanahalli Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,Mr. MUNIKRISHNA  H M,9980795596,,First and Final,000162,21-Jan-2022,000009,13-May-2022,000025,16-May-2022,,           ,Under Process in EE (Acts. Supdt.),1866943,Eighteen Lakh Sixty Six Thousand Nine Hundred Fourty Three,192587,One Lakh Ninety Two Thousand Five Hundred Eighty Seven,1674356,Sixteen Lakh Seventy Four Thousand Three Hundred Fifty Six
3,3,174-20-000047,22-Oct-2021,11-Dec-2021,Providing ornamental grill Bangalore one park 24th main road HSR Layout ward no 174,174 HSR Layout,Executive Engineer Bommanahalli Division Bomanahalli Zone,"P3739 Special development works in Ward No. 01, 03, 04, 05, 09, 10, 13, 15, 17, 19, 20, 26, 27, 28, 29, 34, 35, 36, 39, 43, 45, 46, 51, 52, 57, 64, 65, 71, 79, 83, 85, 88, 89,93, 96, 100, 101, 103,104, 105, 108, 109, 111, 114, 115, 119, 123, 124, 125, 126, 127, 128, 129, 130, 132, 133, 137, 138, 142, 143, 146, 149, 150, 154, 155, 156, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 170, 173, 174, 175, 177, 178, 179, 181, 182, 183, 184, 185, 186, 187, 188, 189, 191, 193, 194, 195, 196  ( Total 98 wards 2.50 crors for each ward)",ANANDA KUMAR,9900261616,,Running,000139,22-Oct-2021,000020,07-Jul-2022,000039,07-Jul-2022,,           ,Under Process in EE (Acts. Supdt.),16693337,One Crore Sixty Six Lakh Ninety Three Thousand Three Hundred Thirty Seven,1137231,Eleven Lakh Thirty Seven Thousand Two Hundred Thirty One,15556106,One Crore Fifty Five Lakh Fifty Six Thousand One Hundred Six
4,4,174-21-000001,22-Jul-2021,19-Feb-2022,project Management Consultancy Services (PMC) for the works indicated below  Development of HSR park play ground in Bommanahalli assembly constituency Development of H S R Park Play Ground in Bommanahalli  Assembly Constituency,174 HSR Layout,Executive Engineer Project Division Bomanahalli Zone,P3075 Special comprehensive development works in Bangalore city (Bangalore city in charge Minister Discretionary Grants),Mr  VIJAY KUMAR  S B,9845021752,,Running,000051,22-Jul-2021,000069,19-Feb-2022,,           ,,           ,Under Process in Executive Engineer,125000,One Lakh Twenty Five Thousand ,0,,0,
5,5,174-21-000004,22-Jul-2021,19-Feb-2022,project Management Consultancy Services (PMC) for the works indicated below  Development of HSR Layout paly Ground ward No. 174 Development of HSR Layout Play Ground  ward no 174,174 HSR Layout,Executive Engineer Project Division Bomanahalli Zone,P3807 Development of HSR Layout play grounds,Mr  VIJAY KUMAR  S B,9845021752,,Running,000047,22-Jul-2021,000070,19-Feb-2022,,           ,,           ,Under Process in Executive Engineer,125000,One Lakh Twenty Five Thousand ,0,,0,
6,6,174-21-000006,22-Jul-2021,19-Feb-2022,PMC -Development of HSR Layout Play Ground in ward no 174,174 HSR Layout,Executive Engineer Project Division Bomanahalli Zone,P2573 Encouragement to Rural Sports (Marali ba Atada Maidhanakke) Dy Mayors discretionary,Mr  VIJAY KUMAR  S B,9845021752,,Running,000052,22-Jul-2021,000072,19-Feb-2022,,           ,,           ,Under Process in Executive Engineer,125000,One Lakh Twenty Five Thousand ,0,,0,
7,7,174-20-000085,12-Jul-2021,30-Sep-2021,Improvements and repairs parks at ward no 174 HSR Layout,174 HSR Layout,Executive Engineer Bommanahalli Division Bomanahalli Zone,P0190 Works sanctioned by Hon Mayor,KARTHIK REDDY K,9686583333,,First and Final,000114,12-Jul-2021,000076,30-Sep-2021,000146,30-Sep-2021,,           ,Under Process in AdCf - Acts. Supdt.,9896308,Ninety Eight Lakh Ninety Six Thousand Three Hundred Eight,443216,Four Lakh Fourty Three Thousand Two Hundred Sixteen,9453092,Ninety Four Lakh Fifty Three Thousand Ninety Two
8,8,174-21-000014,02-Jul-2021,23-Jul-2021,Improvements selected roads and drains 6th sector in ward No. 174 HSR Layout,174 HSR Layout,Executive Engineer Bommanahalli Division Bomanahalli Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,ANANDA KUMAR,9900261616,,First and Final,000107,02-Jul-2021,000069,30-Aug-2021,000137,30-Aug-2021,,           ,000189 / 20-Jun-2022 in RTGS,2120037,Twenty One Lakh Twenty  Thousand Thirty Seven,112574,One Lakh Twelve Thousand Five Hundred Seventy Four,2007463,Twenty  Lakh Seven Thousand Four Hundred Sixty Three
9,9,174-20-000002,07-Jun-2021,05-Aug-2021,PROVIDING WATER SUPPLY WORKS IN WARD NO 174,174 HSR Layout,Executive Engineer Bommanahalli Division Bomanahalli Zone,P1802 Water Supply New Areas,ANANDA KUMAR,9900261616,,Second and Final,000102,07-Jun-2021,000094,14-Dec-2021,000188,15-Dec-2021,,           ,Under Process in AdCf - Acts. Supdt.,566357,Five Lakh Sixty Six Thousand Three Hundred Fifty Seven,22176,Twenty Two Thousand One Hundred Seventy Six,544181,Five Lakh Fourty Four Thousand One Hundred Eighty One
