,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sl No,Job Number,Start Date,End Date,Name of Work,Ward,Office,Budget Head,Contractor,Mobile,Email,Bill Type,Order Number,Order Date,SBR Number,SBR Date,BR Number,BR Date,CBR Number,CBR Date,Payment,Gross,Gross In words,Deduction,Deduction in words,Nett,Nett in words
1,1,037-20-000035,17-Jul-2021,15-Mar-2022,Consultancy services for project management including supervision and quality control for Construction of Individual Houses In Ward No 16 and 37  RR Nagar Constituency,037 Yeshwanthpura,Executive Engineer Rajarajeshwari Nagar Division,P3715 Developmental works at SC/ST areas in R.R.Nagar Assembly,CIVIL ONE ENGINEERS ,9731166144,,First and Final,000058,17-Jul-2021,000012,11-Apr-2022,000018,11-Apr-2022,,           ,Under Process in AdCf - Acts. Supdt.,468000,Four Lakh Sixty Eight Thousand ,46800,Fourty Six Thousand Eight Hundred ,421200,Four Lakh Twenty One Thousand Two Hundred 
2,2,037-20-000035,04-Jun-2021,16-Aug-2021,Construction of Individual Houses In Ward No 16 and 37  RR Nagar Constituency,037 Yeshwanthpura,Executive Engineer Rajarajeshwari Nagar Division,P3715 Developmental works at SC/ST areas in R.R.Nagar Assembly,K Damodar and co (Damodar manjunath),9845511082,,Running,000032,04-Jun-2021,000018,30-Aug-2021,000145,30-Aug-2021,,           ,000286 / 07-Dec-2021 in RTGS,49732702,Four Crore Ninety Seven Lakh Thirty Two Thousand Seven Hundred Two,4998202,Fourty Nine Lakh Ninety Eight Thousand Two Hundred Two,44734500,Four Crore Fourty Seven Lakh Thirty Four Thousand Five Hundred 
3,3,037-20-000009,16-Mar-2021,03-May-2021,Removing Silt in drains at Selected reaches In Ward No 37,037 Yeshwanthpura,Executive Engineer Rajarajeshwari Nagar Division,P1771 Zone Works - POW Works,Madiraju chandrakala (sri vinayaka earth movers),9483289999,,First and Final,000167,16-Mar-2021,000008,30-Jun-2021,000046,30-Jun-2021,,           ,Under Process in AdCf - Acts. Supdt.,1974891,Nineteen Lakh Seventy Four Thousand Eight Hundred Ninety One,192091,One Lakh Ninety Two Thousand Ninety One,1782800,Seventeen Lakh Eighty Two Thousand Eight Hundred 
4,4,037-20-000030,20-Feb-2021,19-Aug-2021,Operation and maintenance of street lighting system in ward no-37  Package R3 of Rajarajeshwari Nagar Zone.,037 Yeshwanthpura,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),SUMA ENTERPRISES & E,9663314949,,Running,000025,16-Feb-2021,000076,11-Feb-2022,000076,11-Feb-2022,,           ,000255 / 16-Jul-2022 in RTGS,658041,Six Lakh Fifty Eight Thousand Fourty One,82470,Eighty Two Thousand Four Hundred Seventy ,575571,Five Lakh Seventy Five Thousand Five Hundred Seventy One
5,5,037-20-000035,18-Feb-2020,12-Feb-2021,"Providing consultancy services for preparation of Detailed project report including Estimation,Drawings and Detailed Report for Construction of Individual Houses In Ward No 16 and 37  RR Nagar Constituency",037 Yeshwanthpura,Executive Engineer Rajarajeshwari Nagar Division,P3715 Developmental works at SC/ST areas in R.R.Nagar Assembly,CIVIL SQUARE CONSULT,9886998316,,Running,000441,18-Feb-2020,000007,23-Jun-2021,000045,28-Jun-2021,,           ,Under Process in AdCf - Acts. Supdt.,490000,Four Lakh Ninety  Thousand ,49000,Fourty Nine Thousand ,441000,Four Lakh Fourty One Thousand 
6,6,037-19-000001,04-Dec-2018,01-Mar-2019,Consultancy For Preparation of DPR including Estimates and Survey Preparation of Drawings for the 3 Works in Ward No.37 in R R Nagara Constituency,037 Yeshwanthpura,Executive Engineer (Project) Rajarajeshwari Nagar Zone,P3157 Construction of Houses for Backward classes and Minorities and EWS at Yeshwanthpur,ACS DESIGN CONSULTIN,9448064921,,First and Final,000034,20-Jan-2020,000027,21-Jan-2020,000026,21-Jan-2020,,           ,000159 / 09-Jun-2022 in RTGS,981000,Nine Lakh Eighty One Thousand ,98100,Ninety Eight Thousand One Hundred ,882900,Eight Lakh Eighty Two Thousand Nine Hundred 
7,7,037-19-000011,21-Oct-2019,17-Dec-2019,"Providing  Auto  Control panels to High mast lights in ward no-37, RR Nagar zone.",037 Yeshwanthpura,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,"P0303 M and R to Pumpsets, Lifts, DG Sets, Wireless sets and Internal Telephone Exchange",PREMA ELECTRICAL ENT,9845004432,,First and Final,000020,21-Oct-2019,000181,26-Feb-2020,000181,26-Feb-2020,,           ,000112 / 17-May-2022 in RTGS,98515,Ninety Eight Thousand Five Hundred Fifteen,8755,Eight Thousand Seven Hundred Fifty Five,89760,Eighty Nine Thousand Seven Hundred Sixty 
8,8,037-19-000010,19-Oct-2019,17-Oct-2020,"Providing Electrical Maintenance and repair to BBMP Buildings in ward no-37, RR Nagar Zone",037 Yeshwanthpura,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,"P0294 M and R to Electrical Inst in BMP Buildings, Schools, M.Homes, Community Halls, Markets and Others",SHREE VINAYAKA ELECT,9449635843,,First and Final,000012,19-Oct-2019,000126,19-Feb-2021,000125,19-Feb-2021,,           ,Under Process in AdCf - Acts. Supdt.,97859,Ninety Seven Thousand Eight Hundred Fifty Nine,5762,Five Thousand Seven Hundred Sixty Two,92097,Ninety Two Thousand Ninety Seven
9,9,037-17-000025,25-Jul-2019,21-Oct-2019,Strengthening of Drains at Selected Reaches In Ward No 37,037 Yeshwanthpura,Executive Engineer Rajarajeshwari Nagar Division,P1771 Zone Works - POW Works,MSJATHIN INFRA PVT L,9686875859,,First and Final,000035,25-Jul-2019,000026,09-Dec-2019,000126,12-Dec-2019,,           ,000060 / 28-Apr-2022 in RTGS,3219266,Thirty Two Lakh Nineteen Thousand Two Hundred Sixty Six,358237,Three Lakh Fifty Eight Thousand Two Hundred Thirty Seven,2861029,Twenty Eight Lakh Sixty One Thousand Twenty Nine
