,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sl No,Job Number,Start Date,End Date,Name of Work,Ward,Office,Budget Head,Contractor,Mobile,Email,Bill Type,Order Number,Order Date,SBR Number,SBR Date,BR Number,BR Date,CBR Number,CBR Date,Payment,Gross,Gross In words,Deduction,Deduction in words,Nett,Nett in words
1,1,070-19-000005,16-Dec-2021,17-Mar-2022,"Construction and Improvements to  Roads and CC Drains near Kodava Samaja, Ramaiah Badavane main road,  4th and 5th cross of Ramaiah Badavane cross roads from 8th cross to 14th cross and southern side cross roads connecting D.I.A main road in ward no 70",070 Rajagopal Nagar,Executive Engineer Dasarahalli,P3505 Special Developmental works at ward No.70,VISHWANATH K J,9448107219,,First and Final,000073,16-Dec-2021,000008,30-May-2022,000048,31-May-2022,,           ,Under Process in EE (Acts. Supdt.),41407912,Four Crore Fourteen Lakh Seven Thousand Nine Hundred Twelve,3780758,Thirty Seven Lakh Eighty  Thousand Seven Hundred Fifty Eight,37627154,Three Crore Seventy Six Lakh Twenty Seven Thousand One Hundred Fifty Four
2,2,070-20-000146,24-Mar-2021,05-Jul-2021,Improvements and re-asphalting to 15th cross 4th cross from GKW layout Circle to park and its surrounding roads in GKW layout in ward no 70,070 Rajagopal Nagar,Executive Engineer Dasarahalli,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,SHIVA KUMAR B.H.    ,9845323569,,First and Final,000204,24-Mar-2021,000023,19-Jul-2021,000044,22-Jul-2021,,           ,000149 / 06-Jun-2022 in RTGS,5690294,Fifty Six Lakh Ninety  Thousand Two Hundred Ninety Four,404027,Four Lakh Four Thousand Twenty Seven,5286267,Fifty Two Lakh Eighty Six Thousand Two Hundred Sixty Seven
3,3,070-20-000147,24-Mar-2021,05-Jul-2021,Improvements and re-asphalting to 3rd cross from Ramiah Badavane main road to SWD and its connecting cross roads at GKW layout and 1st cross 2nd cross 1st A Cross at Shambhavi nagara in  ward no 70,070 Rajagopal Nagar,Executive Engineer Dasarahalli,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,SHIVA KUMAR B.H.    ,9845323569,,First and Final,000203,24-Mar-2021,000024,19-Jul-2021,000043,22-Jul-2021,,           ,000149 / 06-Jun-2022 in RTGS,9008900,Ninety  Lakh Eight Thousand Nine Hundred ,642445,Six Lakh Fourty Two Thousand Four Hundred Fourty Five,8366455,Eighty Three Lakh Sixty Six Thousand Four Hundred Fifty Five
4,4,070-20-000030,01-Jul-2021,30-Nov-2021,Annual Maintenance of street lights package D-7 ward no 70 Rajagopala nagara,070 Rajagopal Nagar,Executive Engineer Electricial Dasarahalli Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),SRI CHOWDESHWARI ELE,9448024910,,Running,000005,08-Jan-2021,000032,18-Jan-2022,000032,18-Jan-2022,,           ,000387 / 02-Mar-2022 in RTGS,600298,Six Lakh Two Hundred Ninety Eight,49132,Fourty Nine Thousand One Hundred Thirty Two,551166,Five Lakh Fifty One Thousand One Hundred Sixty Six
5,5,070-20-000030,01-May-2021,30-Jun-2021,Annual Maintenance of street lights package D-7 ward no 70 Rajagopala nagara,070 Rajagopal Nagar,Executive Engineer Electricial Dasarahalli Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),SRI CHOWDESHWARI ELE,9448024910,,Running,000005,08-Jan-2021,000017,29-Jul-2021,000017,29-Jul-2021,,           ,000387 / 02-Mar-2022 in RTGS,240119,Two Lakh Fourty  Thousand One Hundred Nineteen,19832,Nineteen Thousand Eight Hundred Thirty Two,220287,Two Lakh Twenty  Thousand Two Hundred Eighty Seven
6,6,070-20-000030,10-Jan-2021,30-Apr-2021,Annual Maintenance of street lights package D-7 ward no 70 Rajagopala nagara,070 Rajagopal Nagar,Executive Engineer Electricial Dasarahalli Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),SRI CHOWDESHWARI ELE,9448024910,,Running,000005,08-Jan-2021,000011,08-Jun-2021,000011,08-Jun-2021,,           ,000246 / 13-Oct-2021 in RTGS,445300,Four Lakh Fourty Five Thousand Three Hundred ,41509,Fourty One Thousand Five Hundred Nine,403791,Four Lakh Three Thousand Seven Hundred Ninety One
7,7,070-20-000148,31-Dec-2020,17-Feb-2022,Improvements and re asphalting to cross road from Narayanagowda main road near Shaneshwara temple in ward no 70,070 Rajagopal Nagar,Executive Engineer Dasarahalli,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,MURTHY H            ,9448542267,,First and Final,000151,31-Dec-2020,000037,28-Feb-2022,000110,28-Feb-2022,,           ,Under Process in AdCf - Acts. Supdt.,958198,Nine Lakh Fifty Eight Thousand One Hundred Ninety Eight,81972,Eighty One Thousand Nine Hundred Seventy Two,876226,Eight Lakh Seventy Six Thousand Two Hundred Twenty Six
8,8,070-20-000017,31-Dec-2020,25-Feb-2021,Improvements to roads and drains at Northern side cross roads and its surrounding crosses from 3rd main road at I.P Nagara in ward no 70 Rajagopala Nagara ,070 Rajagopal Nagar,Executive Engineer Dasarahalli,"P3593 Special Development works at ward Nos.18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176, 18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176",MURTHY H            ,9448542267,,First and Final,000152,31-Dec-2020,000053,01-Mar-2021,000200,05-Mar-2021,,           ,Under Process in AdCf - Acts. Supdt.,12731902,One Crore Twenty Seven Lakh Thirty One Thousand Nine Hundred Two,645767,Six Lakh Fourty Five Thousand Seven Hundred Sixty Seven,12086135,One Crore Twenty  Lakh Eighty Six Thousand One Hundred Thirty Five
9,9,070-20-000011,20-Nov-2020,29-May-2021,Improvements to roads and drains at Eastern   side  cross roads  from 15th cross road and Konika Garments surrounding roads  in ward no 70 Rajagopala Nagara  ,070 Rajagopal Nagar,Executive Engineer Dasarahalli,P3505 Special Developmental works at ward No.70,ESS ESS BUILDERS,8722203235,,First and Final,000135,20-Nov-2020,000038,08-Mar-2022,000113,08-Mar-2022,,           ,Under Process in EE (Acts. Supdt.),80000,Eighty  Thousand ,8000,Eight Thousand ,72000,Seventy Two Thousand 
