id,wo num, wodetails,contractor,brnumber,amount,nett,deduction
12339,R-192-14-000010,PRVD IMPTS TO C/R OF CHAMUNDESHWARI NAGAR L/O IN WARD NO 146,KRIDL9448612351,BR - 000149 / 30-Jun-2014CBR - 001989 / 06-Jun-2016Rtgs - 000049 / 09-Jun-2016,3832434,2367289,1465145
11639,192-14-000017,Improvements to roads at Mohan Layout in ward No 192 Begur,N Jagadish9342540302,BR - 000150 / 30-Jun-2014CBR - 001993 / 06-Jun-2016Rtgs - 000049 / 09-Jun-2016,993623,861860,131763
12473,192-13-000016,IMPROVEMENTS OF ROADS AT AK COLONY IN BEGUR VILLAGE IN WARD NO 192 BEGUR,Pratish Kumar S R 9972188889,BR - 000053 / 30-Apr-2014CBR - 002440 / 13-Jun-2016Rtgs - 000056 / 15-Jun-2016,1043490,891165,152325
9114,192-14-000002,Filling of pot holes in ward No 192 Begur,Venkatakrishna 1234567890,BR - 000160 / 30-Jul-2014CBR - 002594 / 16-Jun-2016Rtgs - 000060 / 18-Jun-2016,1444186,1248468,195718
12474,192-14-000023,Annual Maintenance of ward area in ward No 192 Begur,Venkatakrishna9141648915,BR - 000161 / 31-Jul-2014CBR - 002673 / 17-Jun-2016Rtgs - 000066 / 23-Jun-2016,667058,582658,84400
13382,192-14-000005,Supplying drinking water through tankers in East side of Begur ward No 192 Begur,A Francis 9036718749,BR - 000201 / 31-Jul-2014CBR - 002754 / 18-Jun-2016Rtgs - 000066 / 23-Jun-2016,1046350,919185,127165
9417,192-13-000102,Providing additional street light fittings and control switches doddakammanahalli Chikka Kammanahalli Basavanapura Kalena agrahara Tejaswini Nagara and connected area in ward no 192,"TECHNICAL MANAGER-01 , KRIDL9945510720",BR - 000074 / 31-Aug-2013CBR - 003042 / 22-Jun-2016Rtgs - 000071 / 02-Jul-2016,2746252,2337052,409200
13379,192-13-000005,IMPROVEMENTS TO ROADS CHIKKA KAMMANAHALLI VILLAGE IN WARD NO 192 BEGUR,A Francis 9036718749,BR - 000287 / 30-Aug-2014CBR - 003713 / 14-Jul-2016Rtgs - 000082 / 20-Jul-2016,1047780,899615,148165
12241,192-12-000038,ENGAGING TRACTOR AND LABOURS TO REMOVAL OF ROAD SIDE DEBRIES IN BEGUR WARD NO 192,G Nagarajareddy9739163616,BR - 000030 / 30-Aug-2014CBR - 004114 / 28-Jul-2016Rtgs - 000091 / 03-Aug-2016,258598,217676,40922
12246,192-12-000037,EMERGENCY AND SECURITY WORKS IN WARD NO 192,G Nagarajareddy9739163616,BR - 000031 / 30-Aug-2014CBR - 004115 / 28-Jul-2016Rtgs - 000091 / 03-Aug-2016,291675,243962,47713
