,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sl No,Job Number,Start Date,End Date,Name of Work,Ward,Office,Budget Head,Contractor,Mobile,Email,Bill Type,Order Number,Order Date,SBR Number,SBR Date,BR Number,BR Date,CBR Number,CBR Date,Payment,Gross,Gross In words,Deduction,Deduction in words,Nett,Nett in words
1,1,044-21-000012,20-Dec-2021,04-Jun-2022,Improvements of  Drain from Ullas Theatre Road to West of Chord Road (Toyota Show Room)   in ward no 44,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3075 Special comprehensive development works in Bangalore city (Bangalore city in charge Minister Discretionary Grants),VENKATA REDDY N     ,9845641836,,First and Final,000238,20-Dec-2021,000035,18-Jun-2022,000052,20-Jun-2022,,           ,Under Process in TVCC Chief Engineer,5969565,Fifty Nine Lakh Sixty Nine Thousand Five Hundred Sixty Five,568369,Five Lakh Sixty Eight Thousand Three Hundred Sixty Nine,5401196,Fifty Four Lakh One Thousand One Hundred Ninety Six
2,2,044-21-000013,11-Apr-2022,04-Jun-2022,Improvements of  Drain Vegitable Market Surrounding area  in ward no 44,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3075 Special comprehensive development works in Bangalore city (Bangalore city in charge Minister Discretionary Grants),VENKATA REDDY N     ,9845641836,,First and Final,000239,20-Dec-2021,000034,17-Jun-2022,000053,20-Jun-2022,,           ,Under Process in TVCC Chief Engineer,6277452,Sixty Two Lakh Seventy Seven Thousand Four Hundred Fifty Two,577941,Five Lakh Seventy Seven Thousand Nine Hundred Fourty One,5699511,Fifty Six Lakh Ninety Nine Thousand Five Hundred Eleven
3,3,044-21-000010,18-Dec-2021,15-Feb-2022,Providing  Asphalting to Sreekantehwaranagara  in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,Mr  VASANTH KUMAR  K,9900064647,,First and Final,000236,18-Dec-2021,000151,07-Mar-2022,000255,09-Mar-2022,,           ,Under Process in AdCf - Acts. Supdt.,2795865,Twenty Seven Lakh Ninety Five Thousand Eight Hundred Sixty Five,309770,Three Lakh Nine Thousand Seven Hundred Seventy ,2486095,Twenty Four Lakh Eighty Six Thousand Ninety Five
4,4,044-21-000014,30-Oct-2021,23-Mar-2022,Repairs of Maintenance of BBMP Hospital and Other Building in Mahalakshmi layout  Division,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3852 Special Development works at Malleshwaram, Mahalakshmi layout, CV Raman Nagara, Rajajinagara, Govindarajanagara, Chickpet, Basavanagudi, Padmanabhanagara Constituencies (Rs. 20.00 Cr. Per constituency)",VENKATA REDDY N     ,9845641836,,First and Final,000208,30-Oct-2021,000162,29-Mar-2022,000273,30-Mar-2022,,           ,Under Process in AdCf - Acts. Supdt.,9138602,Ninety One Lakh Thirty Eight Thousand Six Hundred Two,760561,Seven Lakh Sixty  Thousand Five Hundred Sixty One,8378041,Eighty Three Lakh Seventy Eight Thousand Fourty One
5,5,044-21-000001,29-Oct-2021,21-May-2022,Improvements to  balance portion of service road from Govardhana theatre to MEI junction in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3075 Special comprehensive development works in Bangalore city (Bangalore city in charge Minister Discretionary Grants),M. M. ENTERPRISES   ,9845345559,,First and Final,000205,29-Oct-2021,000021,26-May-2022,000046,15-Jun-2022,,           ,Under Process in TVCC Chief Engineer,9761169,Ninety Seven Lakh Sixty One Thousand One Hundred Sixty Nine,919358,Nine Lakh Nineteen Thousand Three Hundred Fifty Eight,8841811,Eighty Eight Lakh Fourty One Thousand Eight Hundred Eleven
6,6,044-21-000019,18-Jan-2022,18-Feb-2022,Construction of rain water harvesting and other works in police quarters in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3768 Special Development works at ward Nos 181,124,004,082,176,193,084,068,110,180,067 (2.5 Crore each ward)",PUTTASWAMY B R      ,9945299158,,First and Final,000184,24-Sep-2021,000146,24-Feb-2022,000244,02-Mar-2022,,           ,Under Process in AdCf - Acts. Supdt.,10031156,One Crore Thirty One Thousand One Hundred Fifty Six,980031,Nine Lakh Eighty  Thousand Thirty One,9051125,Ninety  Lakh Fifty One Thousand One Hundred Twenty Five
7,7,044-19-000043,02-Aug-2021,24-Sep-2021,Improvements to  roads and drains at Gajanana slum part-II Ashokpura slum and Ullas theatre road in ward no.44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3403 Special Development works at Marappanapalya ward,SHIVU CONSTRUCTIONS,9620699722,,First and Final,000153,02-Aug-2021,000071,04-Oct-2021,000113,08-Oct-2021,,           ,Under Process in AdCf - Acts. Supdt.,9038441,Ninety  Lakh Thirty Eight Thousand Four Hundred Fourty One,866144,Eight Lakh Sixty Six Thousand One Hundred Fourty Four,8172297,Eighty One Lakh Seventy Two Thousand Two Hundred Ninety Seven
8,8,044-21-000003,20-Jul-2021,04-Oct-2021,Improvements to roads and drains at Srikantesharanagara in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3075 Special comprehensive development works in Bangalore city (Bangalore city in charge Minister Discretionary Grants),M. M. ENTERPRISES   ,9845345559,,First and Final,000144,20-Jul-2021,000109,17-Dec-2021,000181,22-Dec-2021,,           ,Under Process in AdCf - Acts. Supdt.,9825337,Ninety Eight Lakh Twenty Five Thousand Three Hundred Thirty Seven,967706,Nine Lakh Sixty Seven Thousand Seven Hundred Six,8857631,Eighty Eight Lakh Fifty Seven Thousand Six Hundred Thirty One
9,9,044-20-000002,19-Jul-2021,03-Dec-2021,Improvements to drains and culverts at Ashokapura slum and other area in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3717 Developmental works at SC/ST areas in Mahalakshmi Layout  Assembly Constituency,M. M. ENTERPRISES   ,9845345559,,First and Final,000143,19-Jul-2021,000108,17-Dec-2021,000182,24-Dec-2021,,           ,Under Process in AdCf - Acts. Supdt.,5497497,Fifty Four Lakh Ninety Seven Thousand Four Hundred Ninety Seven,560209,Five Lakh Sixty  Thousand Two Hundred Nine,4937288,Fourty Nine Lakh Thirty Seven Thousand Two Hundred Eighty Eight
