,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sl No,Job Number,Start Date,End Date,Name of Work,Ward,Office,Budget Head,Contractor,Mobile,Email,Bill Type,Order Number,Order Date,SBR Number,SBR Date,BR Number,BR Date,CBR Number,CBR Date,Payment,Gross,Gross In words,Deduction,Deduction in words,Nett,Nett in words
1,1,072-22-000012,21-Apr-2022,10-May-2022,Construction Of Culverts and  Removal of Debries at Herohali Ward Limits in Ward No-72  of Herohalli Sub Division for the year 2021-22,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,026653 HARSHA D,9538654301,,First and Final,000008,21-Apr-2022,000016,17-May-2022,000029,18-May-2022,,           ,Under Process in EE (Acts. Supdt.),1112162,Eleven Lakh Twelve Thousand One Hundred Sixty Two,55714,Fifty Five Thousand Seven Hundred Fourteen,1056448,Ten Lakh Fifty Six Thousand Four Hundred Fourty Eight
2,2,072-22-000011,01-Apr-2022,31-Mar-2023,"Operation and maintenance of street lighting system in ward no-72,  Package R15 of Rajarajeshwari Nagar Zone for the Year 2021-22",072 Herohalli,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),023740 VENKATESHWARAELECTRI,9845695444,,Running,000015,04-Apr-2022,000028,16-Jul-2022,000028,16-Jul-2022,,           ,Under Process in EE (Acts. Supdt.),921956,Nine Lakh Twenty One Thousand Nine Hundred Fifty Six,60265,Sixty  Thousand Two Hundred Sixty Five,861691,Eight Lakh Sixty One Thousand Six Hundred Ninety One
3,3,072-22-000002,23-Feb-2022,23-Mar-2022,Pothole Filling  at Herohalli  Ward Limits in Ward No-72 of Herohalli Sub Division for the year 2021-22,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,NITHYA ENTERPRISES,9066688264,,First and Final,000085,23-Feb-2022,000087,30-Mar-2022,000259,30-Mar-2022,,           ,Under Process in AdCf - Acts. Supdt.,1507012,Fifteen Lakh Seven Thousand Twelve,148978,One Lakh Fourty Eight Thousand Nine Hundred Seventy Eight,1358034,Thirteen Lakh Fifty Eight Thousand Thirty Four
4,4,072-21-000027,25-Jan-2022,16-Jun-2022,Drilling of Borewell and Pipeline for Water supply works in ward no 72 Herohalli under Project Division in R R Nagara Zone,072 Herohalli,Executive Engineer (Project) Rajarajeshwari Nagar Zone,"P3853 Special Development works at Yelahanka, KR Puram, Yeshwanthpura, Mahadevapura, Bommanahalli, Bangalore South, Rajarajeshwarinagar Constituencies (Rs. 20.00 Crores per constituency)",G M CONTRACTORS AND ,9611839373,,First and Final,000035,25-Jan-2022,000004,23-Jun-2022,,           ,,           ,Under Process in EE (Acts. Supdt.),8935783,Eighty Nine Lakh Thirty Five Thousand Seven Hundred Eighty Three,0,,0,
5,5,072-21-000028,25-Jan-2022,16-Jun-2022,Construction of School Building in Byadarahalli  in ward no 72 Herohalli under Project Division in R R Nagara Zone,072 Herohalli,Executive Engineer (Project) Rajarajeshwari Nagar Zone,"P3853 Special Development works at Yelahanka, KR Puram, Yeshwanthpura, Mahadevapura, Bommanahalli, Bangalore South, Rajarajeshwarinagar Constituencies (Rs. 20.00 Crores per constituency)",G M CONTRACTORS AND ,9611839373,,Running,000034,25-Jan-2022,000005,23-Jun-2022,,           ,,           ,Under Process in EE (Acts. Supdt.),2517791,Twenty Five Lakh Seventeen Thousand Seven Hundred Ninety One,0,,2517791,Twenty Five Lakh Seventeen Thousand Seven Hundred Ninety One
6,6,072-21-000002,12-Jul-2021,22-Oct-2021,Providing Borewells and pipeline oher Developmental works in the park in ward no 72,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3215 Development of New parks in New Zones  (Each zone Rs.6.CR civil works,Mr  SURESH  K,9008643580,,First and Final,000033,12-Jul-2021,000051,26-Oct-2021,000140,26-Oct-2021,,           ,Under Process in AdCf - Acts. Supdt.,9523945,Ninety Five Lakh Twenty Three Thousand Nine Hundred Fourty Five,886269,Eight Lakh Eighty Six Thousand Two Hundred Sixty Nine,8637676,Eighty Six Lakh Thirty Seven Thousand Six Hundred Seventy Six
7,7,072-21-000003,16-Apr-2021,08-Oct-2021,Consultancy Services for Project Management including Supervision and Quality Control for Improvements and Development of Roads in Ward No-72 (3 Works) under P2902 Grants,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P2902 Strenthening and widening of Arterial and Sub-arterial roads in Road Infrastructure Division in all the 8 zones of BBMP (Est Cost: Rs 300 Cr),CIVIL QUALITY CONSUL,9886998316,,First and Final,000020,16-Apr-2021,000070,22-Dec-2021,000218,06-Jan-2022,,           ,000014 / 16-Apr-2022 in RTGS,386000,Three Lakh Eighty Six Thousand ,38600,Thirty Eight Thousand Six Hundred ,347400,Three Lakh Fourty Seven Thousand Four Hundred 
8,8,072-21-000004,06-Apr-2021,24-Dec-2021,Improvements to Muddinapalya main road from circle to Vidyanikethan school road ward No: 72,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P2902 Strenthening and widening of Arterial and Sub-arterial roads in Road Infrastructure Division in all the 8 zones of BBMP (Est Cost: Rs 300 Cr),GANAPATHISTONECRUSHE,9845163761,,First and Final,000010,06-Apr-2021,000083,07-Feb-2022,000230,07-Feb-2022,,           ,000034 / 21-Apr-2022 in RTGS,9896640,Ninety Eight Lakh Ninety Six Thousand Six Hundred Fourty ,978354,Nine Lakh Seventy Eight Thousand Three Hundred Fifty Four,8918286,Eighty Nine Lakh Eighteen Thousand Two Hundred Eighty Six
9,9,072-21-000003,06-Apr-2021,15-Jul-2021,Improvements and development of Dwarakavasa road from  Magadi main road to BEL Layout in ward No: 72,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P2902 Strenthening and widening of Arterial and Sub-arterial roads in Road Infrastructure Division in all the 8 zones of BBMP (Est Cost: Rs 300 Cr),GANAPATHISTONECRUSHE,9845163761,,First and Final,000008,06-Apr-2021,000040,07-Aug-2021,000090,09-Aug-2021,,           ,000006 / 07-Apr-2022 in RTGS,19572621,One Crore Ninety Five Lakh Seventy Two Thousand Six Hundred Twenty One,1934894,Nineteen Lakh Thirty Four Thousand Eight Hundred Ninety Four,17637727,One Crore Seventy Six Lakh Thirty Seven Thousand Seven Hundred Twenty Seven
